river name,river,Status
Mammoth Spring,http://dbpedia.org/resource/Mammoth_Spring,True
Deschutes River (Oregon),http://dbpedia.org/resource/Deschutes_River_(Oregon),True
Assiniboine River,http://dbpedia.org/resource/Assiniboine_River,True
Chikugo River,http://dbpedia.org/resource/Chikugo_River,True
Big Sandy River (Ohio River tributary),http://dbpedia.org/resource/Big_Sandy_River_(Ohio_River_tributary),True
Scioto River,http://dbpedia.org/resource/Scioto_River,True
Cache River (Arkansas),http://dbpedia.org/resource/Cache_River_(Arkansas),True
Meramec River,http://dbpedia.org/resource/Meramec_River,True
River Churn,http://dbpedia.org/resource/River_Churn,True
River Forth,http://dbpedia.org/resource/River_Forth,True
River Blythe,http://dbpedia.org/resource/River_Blythe,True
Yser,http://dbpedia.org/resource/Yser,True
Gambia River,http://dbpedia.org/resource/Gambia_River,True
Abakan (river),http://dbpedia.org/resource/Abakan_(river),True
Brown Hill Creek,http://dbpedia.org/resource/Brown_Hill_Creek,True
River Weaver,http://dbpedia.org/resource/River_Weaver,True
White Main,http://dbpedia.org/resource/White_Main,True
Hron,http://dbpedia.org/resource/Hron,True
Beas River,http://dbpedia.org/resource/Beas_River,True
River Medina,http://dbpedia.org/resource/River_Medina,True
Kura (river),http://dbpedia.org/resource/Kura_(river),True
Abe River,http://dbpedia.org/resource/Abe_River,True
Abukuma River,http://dbpedia.org/resource/Abukuma_River,True
River Teme,http://dbpedia.org/resource/River_Teme,True
Wenatchee River,http://dbpedia.org/resource/Wenatchee_River,True
Aruwimi River,http://dbpedia.org/resource/Aruwimi_River,True
Ituri River,http://dbpedia.org/resource/Ituri_River,True
Yamuna,http://dbpedia.org/resource/Yamuna,True
River Camel,http://dbpedia.org/resource/River_Camel,True
River Exe,http://dbpedia.org/resource/River_Exe,True
River Lea,http://dbpedia.org/resource/River_Lea,True
Gardon,http://dbpedia.org/resource/Gardon,True
Kuiseb River,http://dbpedia.org/resource/Kuiseb_River,True
Lena (river),http://dbpedia.org/resource/Lena_(river),True
Bruneau River,http://dbpedia.org/resource/Bruneau_River,True
Thames River (Connecticut),http://dbpedia.org/resource/Thames_River_(Connecticut),True
Dniester,http://dbpedia.org/resource/Dniester,True
Oka (river),http://dbpedia.org/resource/Oka_(river),True
Diyala River,http://dbpedia.org/resource/Diyala_River,True
Dender,http://dbpedia.org/resource/Dender,True
Dnieper,http://dbpedia.org/resource/Dnieper,True
Berezina,http://dbpedia.org/resource/Berezina,True
River Teign,http://dbpedia.org/resource/River_Teign,True
Li River,http://dbpedia.org/resource/Li_River,True
River Ravensbourne,http://dbpedia.org/resource/River_Ravensbourne,True
Bei River,http://dbpedia.org/resource/Bei_River,True
Xi River,http://dbpedia.org/resource/Xi_River,True
Kings River (California),http://dbpedia.org/resource/Kings_River_(California),True
Cybina,http://dbpedia.org/resource/Cybina,True
Nowitna River,http://dbpedia.org/resource/Nowitna_River,True
Shing Mun River,http://dbpedia.org/resource/Shing_Mun_River,True
Tanana River,http://dbpedia.org/resource/Tanana_River,True
Susitna River,http://dbpedia.org/resource/Susitna_River,True
Palata (river),http://dbpedia.org/resource/Palata_(river),True
Volturno,http://dbpedia.org/resource/Volturno,True
Zi River,http://dbpedia.org/resource/Zi_River,True
Lahn,http://dbpedia.org/resource/Lahn,True
Khabur (Euphrates),http://dbpedia.org/resource/Khabur_(Euphrates),True
Maumee River,http://dbpedia.org/resource/Maumee_River,True
Lusatian Neisse,http://dbpedia.org/resource/Lusatian_Neisse,True
Calumet River,http://dbpedia.org/resource/Calumet_River,True
Nida (river),http://dbpedia.org/resource/Nida_(river),True
Biebrza,http://dbpedia.org/resource/Biebrza,True
Obra (river),http://dbpedia.org/resource/Obra_(river),True
Bzura,http://dbpedia.org/resource/Bzura,True
Rega,http://dbpedia.org/resource/Rega,True
Poprad (river),http://dbpedia.org/resource/Poprad_(river),True
River Rea,http://dbpedia.org/resource/River_Rea,True
Drawa,http://dbpedia.org/resource/Drawa,True
Eastern Neisse,http://dbpedia.org/resource/Eastern_Neisse,True
Wda,http://dbpedia.org/resource/Wda,True
Prosna,http://dbpedia.org/resource/Prosna,True
Brda (river),http://dbpedia.org/resource/Brda_(river),True
Dunajec,http://dbpedia.org/resource/Dunajec,True
Wkra,http://dbpedia.org/resource/Wkra,True
Wieprz,http://dbpedia.org/resource/Wieprz,True
Pilica (river),http://dbpedia.org/resource/Pilica_(river),True
San (river),http://dbpedia.org/resource/San_(river),True
Narew,http://dbpedia.org/resource/Narew,True
St. Clair River,http://dbpedia.org/resource/St._Clair_River,True
River Clwyd,http://dbpedia.org/resource/River_Clwyd,True
Adelaide River,http://dbpedia.org/resource/Adelaide_River,True
Jubba River,http://dbpedia.org/resource/Jubba_River,True
Pripyat (river),http://dbpedia.org/resource/Pripyat_(river),True
"River Stour, Dorset","http://dbpedia.org/resource/River_Stour,_Dorset",True
Parramatta River,http://dbpedia.org/resource/Parramatta_River,True
Parramatta River,http://dbpedia.org/property/parramattaRiver,True
Kaministiquia River,http://dbpedia.org/resource/Kaministiquia_River,True
Tongue River (Montana),http://dbpedia.org/resource/Tongue_River_(Montana),True
Neris,http://dbpedia.org/resource/Neris,True
"River Stour, Worcestershire","http://dbpedia.org/resource/River_Stour,_Worcestershire",True
"River Tame, West Midlands","http://dbpedia.org/resource/River_Tame,_West_Midlands",True
"River Tame, Greater Manchester","http://dbpedia.org/resource/River_Tame,_Greater_Manchester",True
"River Cole, West Midlands","http://dbpedia.org/resource/River_Cole,_West_Midlands",True
"River Dee, Wales","http://dbpedia.org/resource/River_Dee,_Wales",True
"River Dee, Aberdeenshire","http://dbpedia.org/resource/River_Dee,_Aberdeenshire",True
"River Dee, Galloway","http://dbpedia.org/resource/River_Dee,_Galloway",True
Struma (river),http://dbpedia.org/resource/Struma_(river),True
River Lugg,http://dbpedia.org/resource/River_Lugg,True
Bagmati River,http://dbpedia.org/resource/Bagmati_River,True
Ilz,http://dbpedia.org/resource/Ilz,True
The Narrows,http://dbpedia.org/resource/The_Narrows,True
